Económica;Explicación;Total (miles euros);Total (euros)
7;TRANSFERENCIAS DE CAPITAL;582.430,00;582.430.000
—;TOTAL OPERACIONES DE CAPITAL;582.430,00;582.430.000
—;TOTAL OPERACIONES NO FINANCIERAS;582.430,00;582.430.000
—;TOTAL PRESUPUESTO;582.430,00;582.430.000
—;TOTAL CONSOLIDADO;582.430,00;582.430.000
