Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
20.50;—;Mecanismo de Recuperación y Resiliencia;1.000.000,00;1.000.000.000,00
—;—;TOTAL C12.I02 Programa de impulso de la Competitividad y Sostenibilidad Industrial e I+D+i;1.000.000,00;1.000.000.000,00
