Económica;Explicación;20.50;Total (miles  euros);Total (euros)
6;Inversiones reales;2.000,00;2.000,00;2.000.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;2.000,00;2.000,00;2.000.000,00
7;Transferencias de capital;1.456.670,00;1.456.670,00;1.456.670.000,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y otras entidades del Sector Público Estatal;12.000,00;12.000,00;12.000.000,00
75;A Comunidades Autónomas;12.000,00;12.000,00;12.000.000,00
76;A Entidades Locales;12.000,00;12.000,00;12.000.000,00
77;A empresas privadas;1.408.670,00;1.408.670,00;1.408.670.000,00
78;A familias e instituciones sin fines de lucro;12.000,00;12.000,00;12.000.000,00
8;Activos financieros;1.440.000,00;1.440.000,00;1.440.000.000,00
83;Concesión de préstamos fuera del Sector Público;1.440.000,00;1.440.000,00;1.440.000.000,00
—;TOTAL;—;2.898.670,00;2.898.670.000,00
