Económica;Explicación; 20.50 ;Total (miles  euros);Total (euros)
4;Transferencias corrientes;38.400,00;38.400,00;38.400.000,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y otras entidades;38.400,00;38.400,00;38.400.000,00
6;Inversiones reales;6.400,00;6.400,00;6.400.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;6.400,00;6.400,00;6.400.000,00
—;TOTAL;44.800,00;44.800,00;44.800.000,00
