Económica;Explicación; 20.50 ;Total (miles  euros);Total (euros)
2;Gastos corrientes en bienes y servicios;330;330;330.000,00
29;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;330;330;330.000,00
6;Inversiones reales;8.000,00;8.000,00;8.000.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;8.000,00;8.000,00;8.000.000,00
7;Transferencias de capital;488.670,00;488.670,00;488.670.000,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y otras entidades del Sector Público Estatal;10.670,00;10.670,00;10.670.000,00
75;A Comunidades Autónomas;478.000,00;478.000,00;478.000.000,00
—;TOTAL;497.000,00;497.000,00;497.000.000,00
