Económica;Explicación;13.105;Total (miles euros);Total (euros)
6;INVERSIONES REALES;22.050,98;22.050,98;22.050.980,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;22.050,98;22.050,98;22.050.980,00
—;TOTAL;22.050,98;22.050,98;22.050.980,00
