Clasificación por programas;Explicación;Estado;Total (miles euros);Total (euros)
911O;Control externo del Sector Público;78.372,36;78.372,36;78.372.360,00
;TOTAL CONSOLIDADO;78.372,36;78.372,36;78.372.360,00
;TOTAL;78.372,36;78.372,36;78.372.360,00
