Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
17.50;—;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;11.500,00;11.500.000,00
—;—;TOTAL PROGRAMA 45SC C19.I03 – Competencias digitales para el empleo. Transportes y Movilidad;11.500,00;11.500.000,00
