Económica;Explicación;17.50 ;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;40.000,00;40.000,00;40.000.000,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;8.000,00;8.000,00;8.000.000,00
47;A empresas privadas;32.000,00;32.000,00;32.000.000,00
7;TRANSFERENCIAS DE CAPITAL;92.000,00;92.000,00;92.000.000,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;51.000,00;51.000,00;51.000.000,00
77;A empresas privadas;41.000,00;41.000,00;41.000.000,00
—;TOTAL PROGRAMA 45FD C06.I04 – Transporte sostenible y digital;—;132.000,00;132.000.000,00
