Orgánica;Económica;Explicación;Total (miles €);Total (€)
17.101;6;INVERSIONES REALES;1.000,00;1.000.000,00 €
—;—;TOTAL CENTRO DE ESTUDIOS Y EXPERIMENTACIÓN DE OBRAS PÚBLICAS;1.000,00;1.000.000,00 €
—;—;TOTAL PROGRAMA 467B – Investigación, desarrollo y experimentación en transporte e infraestructuras;1.000,00;1.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
