Económica;Explicación;17.101 (miles €);Total (miles €);Total (€)
6;INVERSIONES REALES;4,47;4,47;4.470,00 €
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;4,47;4,47;4.470,00 €
—;TOTAL PROGRAMA C17.I03;—;4,47;4.470,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
