Orgánica;Económica;Explicación;Total (miles €);Total (€)
17.50;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;307.870,91;307.870.910,00 €
17.50;744;A RENFE Viajeros, S.A. para el Mecanismo de Recuperación y Resiliencia;27.558,00;27.558.000,00 €
17.50;746;A ADIF–Alta Velocidad para el Mecanismo de Recuperación y Resiliencia;23.560,86;23.560.860,00 €
17.50;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;358.989,77;358.989.770,00 €
—;—;TOTAL PROGRAMA 45AC C01.I03 – Mejora de calidad y fiabilidad en Cercanías;358.989,77;358.989.770,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
