Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
17.01;6;INVERSIONES REALES;980;980.000,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;980;980.000,00
—;—;TOTAL PROGRAMA 467G – Investigación y desarrollo de la Sociedad de la Información;980;980.000,00
