;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 38 SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;10;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ARAGÓN;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;336.673,08;
v;;;451;Fondo de Suficiencia Global;;336.673,08;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;336.673,08;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;336.673,08;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ARAGÓN;;336.673,08;
 ; ;;;;;;
 ; ;;;;;;
v;11;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;96.109,99;
v;;;451;Fondo de Suficiencia Global;;96.109,99;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;96.109,99;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;96.109,99;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA;;96.109,99;
 ; ;;;;;;
 ; ;;;;;;
v;12;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;91.317,49;
v;;;451;Fondo de Suficiencia Global;;91.317,49;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;91.317,49;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;91.317,49;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS;;91.317,49;
 ; ;;;;;;
 ; ;;;;;;
v;13;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. NAVARRA;;;
v;;941O;;Otras transferencias a Comunidades Autónomas;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;2.500,00;
v;;;458;Financiación del Estado del coste de la jubilación anticipada de la policía foral navarra;;2.500,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;2.500,00;
 ; ;;;;;;
;;;;TOTAL Otras transferencias a Comunidades Autónomas;;2.500,00;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. NAVARRA;;2.500,00;
 ; ;;;;;;
 ; ;;;;;;
v;14;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;541.685,94;
v;;;451;Fondo de Suficiencia Global;;541.685,94;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;541.685,94;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;541.685,94;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;541.685,94;
 ; ;;;;;;
 ; ;;;;;;
v;17;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;526.831,04;
v;;;451;Fondo de Suficiencia Global;;526.831,04;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;526.831,04;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;526.831,04;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;526.831,04;
 ; ;;;;;;
 ; ;;;;;;
v;18;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;34.462,29;
v;;;451;Fondo de Suficiencia Global;;34.462,29;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;34.462,29;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;34.462,29;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;34.462,29;
 ; ;;;;;;
 ; ;;;;;;
v;19;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;43.038,93;
v;;;451;Fondo de Suficiencia Global;;43.038,93;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;43.038,93;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;43.038,93;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;43.038,93;
 ; ;;;;;;
 ; ;;;;;;
v;20;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;18.050.876,30;
v;;;452;Liquidación definitiva de la financiación de las Comunidades Autónomas y Ciudades con Estatuto de Autonomía de ejercicios anteriores;;6.880.202,30;
v;;;45200; Fondo de Competitividad;4.079.152,55;;
v;;;45201; Fondo de Cooperación;2.418.068,67;;
v;;;45202; Otros conceptos de liquidación del sistema de financiación;382.981,08;;
v;;;453;Aportación del Estado al Fondo de Garantía;;11.170.674,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;18.050.876,30;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;18.050.876,30;
 ; ;;;;;;
v;;941O;;Otras transferencias a Comunidades Autónomas;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;342.200,00;
v;;;456;Compensaciones a comunidades autónomas, incluidas obligaciones de ejercicios anteriores (Artículo 6.2 de la Ley Orgánica de Financiación de las Comunidades Autónomas);;342.200,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;342.200,00;
 ; ;;;;;;
;;;;TOTAL Otras transferencias a Comunidades Autónomas;;342.200,00;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;18.393.076,30;
 ; ;;;;;;
 ; ;;;;;;
v;21;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;;
v;;942M;;Transferencias a Entidades Locales por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;46;A Entidades Locales;;20.792.575,72;
v;;;460;Transferencias a Ayuntamientos;;13.640.757,69;
;;;46001; Entregas a cuenta a favor de los Municipios no incluidos en el modelo de cesión por su participación en los conceptos tributarios de los capítulos I y II del Presupuesto de Ingresos del Estado no susceptibles de cesión a las Comunidades Autónomas;5.768.985,11;;
;;;46002; Entregas a cuenta a favor de los Municipios por su participación en los conceptos tributarios de los capítulos I y II del Presupuesto de Ingresos del Estado no susceptibles de cesión a las Comunidades Autónomas. Fondo Complementario de Financiación;7.871.772,58;;
v;;;461;Transferencias a las Diputaciones y Cabildos Insulares;;6.581.951,85;
;;;46101; Entregas a cuenta a las Diputaciones y Cabildos Insulares por su participación en los ingresos de los capítulos I y II del Presupuesto del Estado por recursos no susceptibles de cesión a las Comunidades Autónomas;6.581.951,85;;
v;;;468;Liquidación definitiva de la participación en los ingresos del Estado de las Corporaciones Locales, correspondiente a ejercicios anteriores y compensaciones derivadas del Nuevo Modelo de Financiación Local;;569.866,18;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;20.792.575,72;
 ; ;;;;;;
;;;;TOTAL Transferencias a Entidades Locales por participación en los ingresos del Estado;;20.792.575,72;
 ; ;;;;;;
v;;942N;;Otras transferencias a Entidades Locales;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;46;A Entidades Locales;;220.319,43;
v;;;464;Compensación financiera a Ceuta y Melilla por garantía de recaudación del Impuesto sobre la Producción, los Servicios y la Importación (IPSI);;142.535,00;
v;;;466;Compensación de los beneficios fiscales, concedidos a las personas físicas o jurídicas en los tributos locales, como consecuencia de normas legales del Estado;;77.784,43;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;220.319,43;
 ; ;;;;;;
;;;;TOTAL Otras transferencias a Entidades Locales;;220.319,43;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;21.012.895,15;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;;45.087.970,53;
;;



