Económica;Explicación;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;45.087.970,53;45.087.970.530
—;TOTAL OPERACIONES CORRIENTES;45.087.970,53;45.087.970.530
—;TOTAL OPERACIONES NO FINANCIERAS;45.087.970,53;45.087.970.530
—;TOTAL PRESUPUESTO;45.087.970,53;45.087.970.530
—;TOTAL CONSOLIDADO;45.087.970,53;45.087.970.530
