;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y capítulos del presupuesto de gastos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 5;Cap. 6;Cap. 7;Cap. 8;Cap. 9;;;Total;
01;CASA DE SU MAJESTAD EL REY;;;;8.431,15;;;;;;;;8.431,15;
01.01; CASA DE SU MAJESTAD EL REY;;;;8.431,15;;;;;;;;8.431,15;
02;CORTES GENERALES;164.221,54;73.644,54;398,20;23.579,73;;6.113,16;;25,00;25,00;;;268.007,17;
02.01; CORTES GENERALES;65.470,12;2.886,87;3,50;3.692,36;;;;;;;;72.052,85;
02.02; CONGRESO DE LOS DIPUTADOS;50.454,10;45.418,00;4,00;11.854,30;;2.690,90;;;;;;110.421,30;
02.03; SENADO;31.327,92;22.018,83;388,00;7.826,44;;2.525,26;;25,00;25,00;;;64.136,45;
02.04; JUNTA ELECTORAL CENTRAL;3,90;432,74;0,20;41,93;;;;;;;;478,77;
02.05; DEFENSOR DEL PUEBLO;16.965,50;2.888,10;2,50;164,70;;897,00;;;;;;20.917,80;
03;TRIBUNAL DE CUENTAS;68.519,87;6.832,27;;8,50;;2.876,52;;135,20;;;;78.372,36;
03.01; TRIBUNAL, FISCALÍA Y SERVICIOS GENERALES;68.519,87;6.832,27;;8,50;;2.876,52;;135,20;;;;78.372,36;
04;TRIBUNAL CONSTITUCIONAL;21.252,60;6.658,86;3,00;1.323,54;;1.200,00;;48,00;;;;30.486,00;
04.01; TRIBUNAL CONSTITUCIONAL;21.252,60;6.658,86;3,00;1.323,54;;1.200,00;;48,00;;;;30.486,00;
05;CONSEJO DE ESTADO;11.170,76;2.874,10;;232,96;;400,00;;9,02;;;;14.686,84;
05.01; CONSEJO DE ESTADO;11.170,76;2.874,10;;232,96;;400,00;;9,02;;;;14.686,84;
06;DEUDA PÚBLICA;;;31.275.104,09;;;;;;97.521.737,01;;;128.796.841,10;
06.01; BONOS, OBLIGACIONES Y OTRAS DEUDAS;;;29.249.153,96;;;;;;90.986.637,89;;;120.235.791,85;
06.02; PRÉSTAMOS;;;637.514,96;;;;;;4.091.430,14;;;4.728.945,10;
06.03; LETRAS DEL TESORO;;;1.100.000,00;;;;;;1.000,00;;;1.101.000,00;
06.04; DEUDAS ASUMIDAS;;;93.422,17;;;;;;2.442.643,98;;;2.536.066,15;
06.05; OBLIGACIONES DIVERSAS;;;195.013,00;;;;;;25,00;;;195.038,00;
07;CLASES PASIVAS;;;;20.499.792,31;;;;;;;;20.499.792,31;
07.01; PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;;;20.499.792,31;;;;;;;;20.499.792,31;
08;CONSEJO GENERAL DEL PODER JUDICIAL;47.878,75;27.026,08;;579,15;;2.799,82;;50,00;;;;78.333,80;
