Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.50;—;Mecanismo de Recuperación y Resiliencia;73.500,00;73.500.000,00
—;—;TOTAL C20.I01 Reskilling y upskilling de la población activa ligado a cualificaciones profesionales. Fomento del Empleo;73.500,00;73.500.000,00
