Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.106;—;Consejo Superior de Deportes;68.998,19;68.998.190,00
—;—;TOTAL C26.I02 Plan de Transición Ecológica de Instalaciones Deportivas;68.998,19;68.998.190,00
