Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.50;19;Gastos de personal. Mecanismo de Recuperación y Resiliencia;99,56;99.560,00
—;—;TOTAL GASTOS DE PERSONAL;99,56;99.560,00
—;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;400;400.000,00
—;—;TOTAL C20.R01 Plan de modernización de la Formación Profesional;400;400.000,00
