Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.50;19;Gastos de personal. Mecanismo de Recuperación y Resiliencia;1.435,71;1.435.710,00
—;—;TOTAL GASTOS DE PERSONAL;1.435,71;1.435.710,00
—;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;120.626,50;120.626.500,00
—;—;TOTAL PROGRAMA 32UB – C21.I02 #PROA+;120.626,50;120.626.500,00
