Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.50;—;Mecanismo de Recuperación y Resiliencia;143.059,87;143.059.870,00
—;—;TOTAL C20.I02 Transformación Digital de la Formación Profesional;143.059,87;143.059.870,00
