Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.50;—;Mecanismo de Recuperación y Resiliencia;324,11;324.110,00
—;—;TOTAL C19.I02 Transformación Digital de la Educación. Política Exterior;324,11;324.110,00
;;;;
;;;;
