Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.50;—;Mecanismo de Recuperación y Resiliencia;438.800,42;438.800.420,00
—;—;TOTAL C20.I01 Reskilling y upskilling de la población activa ligado a cualificaciones profesionales. Educación;438.800,42;438.800.420,00
