Económica;Explicación;18.50;Total (miles  euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;142.615,67;142.615,67;142.615.670,00
45;A Comunidades Autónomas;18.358,90;18.358,90;18.358.900,00
47;A empresas privadas;25.333,89;25.333,89;25.333.890,00
48;A familias e instituciones sin fines de lucro;98.922,88;98.922,88;98.922.880,00
6;INVERSIONES REALES;444,20;444,20;444.200,00
69;Inversiones reales – Mecanismo de Recuperación y Resiliencia;444,20;444,20;444.200,00
—;TOTAL PROGRAMA 32TB;—;143.059,87;143.059.870,00
