Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.50;—;Mecanismo de Recuperación y Resiliencia;136.210,00;136.210.000,00
—;—;TOTAL C21.I01 Creación de plazas del Primer Ciclo de Educación Infantil de titularidad pública;136.210,00;136.210.000,00
