;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;;;47021; Autopista Concesionaria Astur Leonesa, S.A., por las bonificaciones de peaje a vehículos pesados en la autopista AP-66 León-Campomanes;9.496,76;;
v;;;47030; Autopistas del Atlántico, Concesionaria Española, S.A., por la supresión del peaje de los movimientos O Morrazo-Vigo y A Coruña-A Barcala e inversos (Real Decreto 633/2006, de 19 de mayo);9.091,64;;
v;;;47031; Real Decreto de modificación de la concesión de la autopista AP-9 Ferrol-Frontera Portuguesa. Bonificaciones de peaje;56.360,25;;
v;;;47040; Para compensar a Autopista Madrid-Toledo en cumplimiento de sentencia del Tribunal Supremo de 16 de mayo de 2013;0,50;;
v;;;473;Para compensar la pérdida de ingresos por la rebaja de las tarifas de peaje;;8.000,00;
;;;47302; Para compensar a las sociedades concesionarias de autopistas de peaje dependientes de la Administración General del Estado, por reducciones de peaje para potenciar el uso de las mismas por vehículos pesados;2.000,00;;
;;;47303; Para compensar a las sociedades concesionarias de autopistas de peaje dependientes de la Administración General del Estado según estudios de nuevas necesidades;4.000,00;;
;;;47310; Transferencias corrientes para compensar a las sociedades concesionarias por la modificación temporal de las tarifas, de acuerdo con lo dispuesto en la Ley 37/2015, de carreteras;2.000,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;98.116,04;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;78;A familias e instituciones sin fines de lucro;;1.200,00;
v;;;780;Fundación para la preservación del Patrimonio Ferroviario e Industrial (FPPFI) Museu del Ferrocarril de Móra la Nova. Ampliación de las instalaciones;;1.200,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;1.200,00;
 ; ;;;;;;
;;;;TOTAL Subvenciones y apoyo al transporte terrestre;;99.316,04;
 ; ;;;;;;
v;;441P;;Subvenciones al transporte extrapeninsular de mercancías;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;47;A empresas privadas;;84.279,24;
v;;;471;Transporte del plátano de Canarias;;20.000,00;
v;;;478;Subvención al transporte marítimo y aéreo de mercancías con origen o destino en territorios extrapeninsulares de acuerdo con la legislación vigente;;64.279,24;
;;;47801; Canarias, sin financiación comunitaria;23.500,00;;
;;;47802; Baleares;5.000,00;;
;;;47803; Canarias, con financiación comunitaria;35.529,24;;
;;;47804; Ceuta y Melilla;250,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;84.279,24;
 ; ;;;;;;
;;;;TOTAL Subvenciones al transporte extrapeninsular de mercancías;;84.279,24;
 ; ;;;;;;
v;;451N;;Dirección y Servicios Generales de Transportes y Movilidad Sostenible;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;469,08;
;;;226;Gastos diversos;;219,08;
v;;;22601; Atenciones protocolarias y representativas;17,99;;
;;;22603; Jurídicos, contenciosos;170,00;;
;;;22606; Reuniones, conferencias y cursos;26,67;;
;;;22699; Otros;4,42;;
;;;227;Trabajos realizados por otras empresas y profesionales;;250,00;
;;;22706; Estudios y trabajos técnicos;250,00;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;469,08;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;3.500,00;
v;;;352;Intereses de demora;;3.500,00;
;;;;TOTAL GASTOS FINANCIEROS;;3.500,00;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;5.620,00;
v;;;441;A ENAIRE para compensar el coste de los vuelos exonerados;;650,00;
v;;;442;Paquete de solidaridad con Ucrania y Moldavia;;4.800,00;
v;;;449;A la Fundación de los Ferrocarriles Españoles, F.S.P. para acciones de la Estrategia Estatal por la Bicicleta;;170,00;
v;;;45;A Comunidades Autónomas;;420,00;
v;;;456;Subvención nominativa al Centro de Investigación del Transporte (TRANSyT) de la Universidad Politécnica de Madrid para el Observatorio de la Movilidad Metropolitana;;120,00;
v;;;458;A la Fundación Universitaria CIT UPC-CARNET para la financiación de las actividades del Centro de Investigación e Innovación en Movilidad Avanzada (CIIMA);;300,00;
v;;;47;A empresas privadas;;1.640,13;
v;;;472;Subvención al funcionamiento de las Autopistas del Mar entre España y Francia;;1.640,13;
v;;;47201; Subvención al funcionamiento de la Autopista del Mar entre Gijón y Nantes;1.640,13;;
v;;;48;A familias e instituciones sin fines de lucro;;385,00;
v;;;481;Subvención nominativa a la Red de Ciudades por la Bicicleta (RCxB);;15,00;
v;;;483;Al Colegio de Ingenieros de Caminos, Canales y Puertos para la realización de actividades de promoción de la ingeniería civil;;200,00;
v;;;484;A la Real Federación Española de Ciclismo (RFEC);;100,00;
v;;;489;Centro de Estudios de Transportes del Mediterráneo Occidental;;70,00;
v;;;49;Al exterior;;1,00;
v;;;491;Cuotas a Organismos Internacionales;;1,00;
;;;49100; European Partnership on Connected, Cooperative and Automated Mobility (CCAM);1,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;8.066,13;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;64;Gastos de inversiones de carácter inmaterial;;3.900,00;
;;;640;Gastos en inversiones de carácter inmaterial;;3.900,00;
;;;;TOTAL INVERSIONES REALES;;3.900,00;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;5.750,00;
v;;;741;Sociedad Española de Estudios para la Comunicación Fija a través del Estrecho de Gibraltar, S.A. (SECEGSA);;750,00;
v;;;749;A la Fundación de los Ferrocarriles Españoles, F.S.P. para acciones de la Estrategia Estatal por la Bicicleta;;5.000,00;
v;;;75;A Comunidades Autónomas;;264.091,10;
v;;;750;A la Comunidad Autónoma de Cataluña en cumplimiento de la Sentencia nº 1668/2017 de la Sala 3ª del Tribunal Supremo;;200.000,00;
v;;;759;Otras actuaciones de Departamento;;64.091,10;
v;;;76;A Entidades Locales;;835,00;
v;;;760;Al Ayuntamiento de Passaia. Actuaciones en Casa Ciriza. Mejora accesibilidad y ahorro consumo energético;;300,00;
v;;;762;A la Diputación provincial de Pontevedra para la construcción de una pasarela transfronteriza con Portugal;;100,00;
v;;;763;Ajuntament de Castellar del Vallés. Construcción de una área de servicio e higiene en el polígono industrial;;235,00;
v;;;769;A la Institución Ferial de Madrid (IFEMA) para la celebración del Global Mobility Call;;200,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;270.676,10;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;85;Adquisición de acciones y participaciones del Sector Público;;52.691,16;
v;;;852;Sociedad Estatal de Infraestructuras del Transporte Terrestre (SEITTSA);;52.691,16;
;;;85200; Para financiar infraestructuras del transporte;44.761,32;;
;;;85202; Para financiar la gestión de la explotación de autopistas de titularidad estatal;7.929,84;;
;;;;TOTAL ACTIVOS FINANCIEROS;;52.691,16;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Transportes y Movilidad Sostenible;;339.302,47;
 ; ;;;;;;
v;;000X;;Transferencias y libramientos internos;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;41;A Organismos Autónomos;;12.897,90;
v;;;410;Centro de Estudios y Experimentación de Obras Públicas (CEDEX);;12.897,90;
v;;;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;6.585,41;
v;;;431;Agencia Estatal de Seguridad Ferroviaria;;6.585,41;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;19.483,31;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;71;A Organismos Autónomos;;5.900,00;
v;;;710;Centro de Estudios y Experimentación de Obras Públicas (CEDEX);;5.840,00;
v;;;713;Centro Nacional de Información Geográfica (CNIG);;60,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;5.900,00;
 ; ;;;;;;
;;;;TOTAL Transferencias y libramientos internos;;25.383,31;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;;548.281,06;
 ; ;;;;;;
 ; ;;;;;;
v;32;;;DIRECCIÓN GENERAL DE MARINA MERCANTE;;;
v;;441N;;Subvenciones y apoyo al transporte marítimo;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;16,31;
v;;;353;Intereses de demora por Sentencias, Recursos y Reclamaciones, incluidas obligaciones de ejercicios anteriores;;16,31;
;;;;TOTAL GASTOS FINANCIEROS;;16,31;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;15.433,34;
v;;;442;Compensación económica a Empresas Públicas o privadas de transporte marítimo por la prestación del servicio de navegaciones de interés público;;15.433,34;
v;;;48;A familias e instituciones sin fines de lucro;;168.499,27;
v;;;481;Para satisfacer la bonificación a residentes no peninsulares por traslado a la Península y regreso por vía marítima, así como por los traslados interinsulares;;158.499,27;
;;;48101; Baleares;50.726,54;;
;;;48102; Canarias;75.114,37;;
;;;48103; Ceuta y Melilla;32.658,36;;
v;;;484;Para satisfacer bonificaciones en billetes de transporte marítimo expedidos a familias numerosas;;10.000,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;183.932,61;
 ; ;;;;;;
;;;;TOTAL Subvenciones y apoyo al transporte marítimo;;183.948,92;
 ; ;;;;;;
v;;454M;;Regulación y seguridad del tráfico marítimo;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;61,04;
;;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;;10000; Retribuciones básicas;18,91;;
;;;10001; Retribuciones complementarias;42,13;;
v;;;12;Funcionarios;;24.632,80;
;;;120;Retribuciones básicas;;12.590,56;
;;;12000; Sueldos del grupo A1 y grupo A;4.429,47;;
;;;12001; Sueldos del grupo A2 y grupo B;809,74;;
;;;12002; Sueldos del grupo C1 y grupo C;1.862,45;;
;;;12003; Sueldos del grupo C2 y grupo D;1.485,92;;
;;;12004; Sueldos personal de agrupaciones profesionales y grupo E;14,70;;
;;;12005; Trienios;1.807,70;;
;;;12006; Pagas extraordinarias;2.180,58;;
;;;121;Retribuciones complementarias;;11.603,74;
;;;12100; Complemento de destino;5.317,93;;
;;;12101; Complemento específico;5.935,87;;
;;;12102; Indemnización por residencia;348,00;;
;;;12103; Otros complementos;1,94;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;438,50;
;;;12300; Indemnización por destino en el extranjero;438,50;;
v;;;13;Laborales;;1.656,60;
;;;130;Laboral fijo;;1.656,60;
;;;13000; Retribuciones básicas;1.534,33;;
;;;13001; Otras remuneraciones;122,27;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.350,00;
;;;160;Cuotas sociales;;2.350,00;
v;;;16000; Seguridad Social;2.350,00;;
;;;;TOTAL GASTOS DE PERSONAL;;28.700,44;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;4.630,07;
;;;220;Material de oficina;;330,07;
;;;22000; Ordinario no inventariable;312,95;;
;;;22001; Prensa, revistas, libros y otras publicaciones;17,12;;
;;;221;Suministros;;1.307,73;
;;;22100; Energía eléctrica;819,51;;
;;;22101; Agua;62,21;;
;;;22102; Gas;24,57;;
;;;22103; Combustible;123,91;;
;;;22104; Vestuario;156,33;;
v;;;22109; Labores Fábrica Nacional Moneda y Timbre;71,00;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;3,86;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;8,81;;
;;;22115; Suministros en el exterior;2,50;;
;;;22199; Otros suministros;35,03;;
;;;222;Comunicaciones;;28,26;
;;;22200; Servicios de telecomunicaciones;20,00;;
;;;22201; Postales y mensajería;0,76;;
;;;22215; Comunicaciones en el exterior;7,50;;
;;;223;Transportes;;34,36;
;;;224;Primas de seguros;;42,53;
;;;225;Tributos;;12,26;
v;;;22502; Locales;12,26;;
;;;226;Gastos diversos;;365,08;
v;;;22601; Atenciones protocolarias y representativas;2,25;;
;;;22602; Publicidad y propaganda;11,13;;
;;;22603; Jurídicos, contenciosos;224,19;;
;;;22605; Gastos tribunales de examen;30,94;;
;;;22606; Reuniones, conferencias y cursos;67,28;;
;;;22607; Oposiciones y pruebas selectivas;5,21;;
;;;22699; Otros;24,08;;
;;;227;Trabajos realizados por otras empresas y profesionales;;2.509,78;
;;;22700; Limpieza y aseo;1.120,52;;
;;;22701; Seguridad;1.050,68;;
;;;22706; Estudios y trabajos técnicos;246,10;;
;;;22799; Otros;92,48;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;4.630,07;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;1.100,00;
v;;;483;ANAVE por los costes de formación a alumnos embarcados en prácticas;;1.000,00;
v;;;485;Fundación Correillo La Palma;;50,00;
v;;;486;ALBAOLA. Asociación para la difusión del Patrimonio Cultural Marítimo Vasco;;50,00;
v;;;49;Al exterior;;99,00;
v;;;491;Cuotas a Organismos Internacionales;;99,00;
;;;49100; Cuota al Memorándum de Entendimiento sobre el Control por el Estado Soberano del Puerto (MOU-PSC);47,00;;
;;;49101; Cuota al Memorándum de acuerdo Equasis;52,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.199,00;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.325,55;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.325,55;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;594,45;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;594,45;
;;;64;Gastos de inversiones de carácter inmaterial;;380,00;
;;;640;Gastos en inversiones de carácter inmaterial;;380,00;
;;;;TOTAL INVERSIONES REALES;;2.300,00;
 ; ;;;;;;
;;;;TOTAL Regulación y seguridad del tráfico marítimo;;36.829,51;
 ; ;;;;;;
v;;497M;;Salvamento y lucha contra la contaminación en la mar;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;157.720,00;
v;;;441;Sociedad Estatal de Salvamento y Seguridad Marítima (SASEMAR);;157.720,00;
;;;44100; Subvención para financiar la actividad global de la Sociedad de Salvamento y Socorro Marítimo;157.570,00;;
;;;44101; Para financiar proyectos de cooperación técnica internacional con la Administración Marítima;150,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;157.720,00;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;32.040,00;
v;;;741;Sociedad Estatal de Salvamento y Seguridad Marítima (SASEMAR);;32.040,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;32.040,00;
 ; ;;;;;;
;;;;TOTAL Salvamento y lucha contra la contaminación en la mar;;189.760,00;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL DE MARINA MERCANTE;;410.538,43;
 ; ;;;;;;
 ; ;;;;;;
v;34;;;DIRECCIÓN GENERAL DE AVIACIÓN CIVIL;;;
v;;441O;;Subvenciones y apoyo al transporte aéreo;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;47;A empresas privadas;;8.600,00;
v;;;470;Contrato de Servicio de Transporte aéreo para satisfacer Obligaciones de Servicio Público en Canarias;;3.800,00;
v;;;471;Contrato de Servicio de Transporte aéreo para satisfacer Obligaciones de Servicio Público en Menorca;;1.800,00;
v;;;472;Contrato de Servicio de Transporte aéreo para satisfacer Obligaciones de Servicio Público en Melilla;;3.000,00;
v;;;48;A familias e instituciones sin fines de lucro;;565.260,05;
v;;;483;Subvención al tráfico aéreo regular;;560.810,05;
;;;48301; Entre la Península y el Archipiélago Canario, así como entre las Islas Canarias;321.796,76;;
;;;48302; Entre la Península y el Archipiélago Balear, así como entre las Islas Baleares;215.013,29;;
;;;48303; Entre Ceuta, Melilla y el resto del territorio nacional;24.000,00;;
v;;;487;Para satisfacer bonificaciones en billetes de transporte aéreo expedidos a familias numerosas;;4.450,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;573.860,05;
 ; ;;;;;;
;;;;TOTAL Subvenciones y apoyo al transporte aéreo;;573.860,05;
 ; ;;;;;;
v;;455M;;Regulación y supervisión de la aviación civil;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;61,04;
;;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;;10000; Retribuciones básicas;18,91;;
;;;10001; Retribuciones complementarias;42,13;;
v;;;12;Funcionarios;;2.478,29;
;;;120;Retribuciones básicas;;1.033,43;
;;;12000; Sueldos del grupo A1 y grupo A;445,92;;
;;;12001; Sueldos del grupo A2 y grupo B;192,80;;
;;;12002; Sueldos del grupo C1 y grupo C;48,25;;
;;;12003; Sueldos del grupo C2 y grupo D;56,22;;
;;;12005; Trienios;119,68;;
;;;12006; Pagas extraordinarias;170,56;;
;;;121;Retribuciones complementarias;;1.188,76;
;;;12100; Complemento de destino;501,82;;
;;;12101; Complemento específico;671,09;;
;;;12102; Indemnización por residencia;15,23;;
;;;12103; Otros complementos;0,62;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;256,10;
;;;12300; Indemnización por destino en el extranjero;254,00;;
;;;12301; Indemnización por educación;2,10;;
v;;;13;Laborales;;128,15;
;;;130;Laboral fijo;;128,15;
;;;13000; Retribuciones básicas;118,90;;
;;;13001; Otras remuneraciones;9,25;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;330,00;
;;;160;Cuotas sociales;;330,00;
v;;;16000; Seguridad Social;330,00;;
;;;;TOTAL GASTOS DE PERSONAL;;2.997,48;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;1.210,62;
;;;220;Material de oficina;;158,94;
;;;22001; Prensa, revistas, libros y otras publicaciones;156,00;;
;;;22015; Material de oficina en el exterior;2,94;;
;;;222;Comunicaciones;;2,77;
;;;22215; Comunicaciones en el exterior;2,77;;
;;;226;Gastos diversos;;70,39;
v;;;22601; Atenciones protocolarias y representativas;2,25;;
;;;22602; Publicidad y propaganda;3,95;;
;;;22603; Jurídicos, contenciosos;10,00;;
;;;22606; Reuniones, conferencias y cursos;25,04;;
;;;22615; Gastos diversos en el exterior;29,15;;
;;;227;Trabajos realizados por otras empresas y profesionales;;978,52;
;;;22706; Estudios y trabajos técnicos;929,17;;
;;;22715; Trabajos realizados por otras empresas y profesionales en el exterior;49,35;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.210,62;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;0,19;
v;;;352;Intereses de demora;;0,19;
;;;;TOTAL GASTOS FINANCIEROS;;0,19;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;49;Al exterior;;1.755,31;
v;;;492;Cuotas a Organismos Internacionales;;1.755,31;
;;;49200; Conferencia Europea de Aviación Civil (CEAC);105,82;;
;;;49201; Cuota a la participación de España como miembro de la Organización de Aviación Civil Internacional (OACI);1.647,70;;
;;;49202; Cuota acuerdo con Dinamarca, relacionado con la prestación de servicios ATC., COM. y MET. para los vuelos del Atlántico Septentrional con arreglo al acuerdo entre la Organización de Aviación Civil Internacional (OACI) y Dinamarca;1,54;;
;;;49203; Cuota acuerdo con Islandia, relacionado con la prestación de servicios ATC., COM. y MET. para los vuelos del Atlántico Septentrional con arreglo al acuerdo entre la Organización de Aviación Civil Internacional (OACI) e Islandia;0,25;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.755,31;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;64;Gastos de inversiones de carácter inmaterial;;4.346,68;
;;;640;Gastos en inversiones de carácter inmaterial;;4.346,68;
;;;;TOTAL INVERSIONES REALES;;4.346,68;
 ; ;;;;;;
;;;;TOTAL Regulación y supervisión de la aviación civil;;10.310,28;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL DE AVIACIÓN CIVIL;;584.170,33;
 ; ;;;;;;
 ; ;;;;;;
v;38;;;DIRECCIÓN GENERAL DE CARRETERAS;;;
v;;453B;;Creación de infraestructura de carreteras;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;61,04;
;;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;;10000; Retribuciones básicas;18,91;;
;;;10001; Retribuciones complementarias;42,13;;
v;;;12;Funcionarios;;17.335,98;
;;;120;Retribuciones básicas;;8.738,50;
;;;12000; Sueldos del grupo A1 y grupo A;2.482,29;;
;;;12001; Sueldos del grupo A2 y grupo B;1.902,24;;
;;;12002; Sueldos del grupo C1 y grupo C;820,25;;
;;;12003; Sueldos del grupo C2 y grupo D;730,91;;
;;;12005; Trienios;1.335,72;;
;;;12006; Pagas extraordinarias;1.467,09;;
;;;121;Retribuciones complementarias;;8.597,48;
;;;12100; Complemento de destino;3.795,74;;
;;;12101; Complemento específico;4.800,99;;
;;;12103; Otros complementos;0,75;;
v;;;13;Laborales;;13.430,38;
;;;130;Laboral fijo;;13.430,38;
;;;13000; Retribuciones básicas;11.790,49;;
;;;13001; Otras remuneraciones;1.639,89;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;5.000,78;
;;;160;Cuotas sociales;;5.000,78;
v;;;16000; Seguridad Social;5.000,78;;
;;;;TOTAL GASTOS DE PERSONAL;;35.828,18;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;759,91;
;;;220;Material de oficina;;4,30;
;;;22001; Prensa, revistas, libros y otras publicaciones;4,30;;
;;;226;Gastos diversos;;555,61;
v;;;22601; Atenciones protocolarias y representativas;2,25;;
;;;22602; Publicidad y propaganda;100,00;;
;;;22603; Jurídicos, contenciosos;416,64;;
;;;22699; Otros;36,72;;
;;;227;Trabajos realizados por otras empresas y profesionales;;200,00;
;;;22706; Estudios y trabajos técnicos;200,00;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;759,91;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;60;Inversión nueva en infraestructuras y bienes destinados al uso general;;848.484,22;
;;;601;Otras;;848.483,22;
v;;;602;Destinado a atender los efectos derivados de la resolución de los contratos de concesión de obra pública;;1,00;
;;;61;Inversión de reposición en infraestructuras y bienes destinados al uso general;;215.809,00;
;;;611;Otras;;215.809,00;
;;;64;Gastos de inversiones de carácter inmaterial;;1.331,44;
;;;640;Gastos en inversiones de carácter inmaterial;;1.331,44;
;;;;TOTAL INVERSIONES REALES;;1.065.624,66;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;453.735,00;
v;;;750;A la Comunidad Foral de Navarra;;5.735,00;
v;;;75001; A la Comunidad Foral de Navarra para culminar ejecución de proyecto de pista ciclable Irurtzun-Agurain;1.000,00;;
v;;;75002; A la Comunidad Foral de Navarra. Ejecución de variante Lesaka NA-4000;3.750,00;;
v;;;75003; A la Comunidad Foral de Navarra para redacción de proyecto de variante de Bera en la carretera NA-121;885,00;;
v;;;75004; A la Comunidad Foral de Navarra. Redacción proyecto segunda y tercera fase variante NA-4410;100,00;;
v;;;754;A la Generalitat de Catalunya;;18.000,00;
v;;;75401; A la Generalitat de Catalunya para actuaciones en el Maresme N-II;5.000,00;;
v;;;75402; A la Generalitat de Catalunya para la mejora de la conectividad en la AP-2 y AP-7;8.000,00;;
v;;;75403; A la Generalitat de Catalunya para la mejora de la N-260 Eje Pirenaico;5.000,00;;
v;;;755;Convenio con la Comunidad Autónoma de Canarias;;210.000,00;
v;;;756;Ejecución sentencias del Tribunal Supremo 2075/2017, 255/2018, 415/2018 y 1095/2018, derivadas del convenio de colaboración entre la Administración General del Estado y la Comunidad Autónoma de Canarias de 31 de enero de 2006;;200.000,00;
v;;;758;Resto de Transferencias a Comunidades Autónomas;;18.500,00;
v;;;75801; Al Gobierno de Navarra para actuaciones en la N-121 de su titularidad que den continuidad a la Red de carreteras del Estado en la Comunidad Foral;15.000,00;;
v;;;75802; A la Junta de Extremadura para adecuación N-630a (Tramo: Av. de España y Av. Martín Palomino. Plasencia);500,00;;
v;;;75805; Convenio con la Junta de Comunidades de Castilla-La Mancha para la realización de actuaciones de mejora capacidad de la N-5A;2.000,00;;
v;;;75806; A la Comunidad Autónoma de la Región de Murcia para mejora de la accesibilidad de la A-33 en el entorno de Jumilla;1.000,00;;
v;;;759;A la Comunidad Autónoma de la Región de Murcia para actuaciones en la Autovía Alquerías-Santomera;;1.500,00;
v;;;76;A Entidades Locales;;16.799,35;
v;;;763;CC.LL. por asunción de competencias derivadas del cambio de titularidad de determinados tramos de carreteras estatales a vías urbanas;;2.418,35;
;;;76300; Resto de actuaciones por asunción de competencias por cambio de titularidad en tramos de carreteras estatales a vías urbanas;2.418,35;;
v;;;767;Al Cabildo Insular de La Palma para la mejora de la carretera de acceso al Instituto Astrofísico de Canarias;;1.000,00;
v;;;768;Resto de Transferencias a Entidades Locales;;13.381,00;
v;;;76803; Al Ayuntamiento de Las Palmas de Gran Canaria para financiar el proyecto Metroguagua;5.000,00;;
v;;;76804; Al Ayuntamiento de Andoain. Redacción estudio de la modificación del actual trazado de la N-1 a su paso por la localidad de Andoain y el aprovechamiento y la regeneración de los actuales espacios;476,00;;
v;;;76809; Convenio con el Ayuntamiento de Valencia para la rehabilitación Torre Miramar;100,00;;
v;;;76810; Convenio con la Diputación Foral de Álava por obras de ampliación de la AP-1. Enlace de Armiñón;1.205,00;;
v;;;76812; Ajuntament Sant Just Desvern. Construcción del puente para tráfico rodado que conecta el municipio de Sant Feliu de Llobregat y el barrio Luí de Sant Just Desvern con la B-23;1.000,00;;
v;;;76814; A la Diputación Foral de Álava para la construcción de puente sobre el río Zadorra;4.000,00;;
v;;;76815; Al Ayuntamiento de Lladó para mejora de accesos y entorno del Monasterio de Santa María de Lladó;600,00;;
v;;;76816; A la Diputación de Huelva para realización de accesos a puente internacional sobre el río Guadiana en Sanlúcar de Guadiana;1.000,00;;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;470.534,35;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;20.800,00;
v;;;830;Préstamos a corto plazo;;20.800,00;
;;;83011; Anticipo de acopio de materiales, equipos e instalaciones;20.800,00;;
;;;;TOTAL ACTIVOS FINANCIEROS;;20.800,00;
 ; ;;;;;;
;;;;TOTAL Creación de infraestructura de carreteras;;1.593.547,10;
 ; ;;;;;;
v;;453C;;Conservación y explotación de carreteras;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;7.176,84;
;;;120;Retribuciones básicas;;3.660,28;
;;;12000; Sueldos del grupo A1 y grupo A;966,16;;
