;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
;;;48100; A los Colegios profesionales y Consejos Generales de Colegios profesionales para formación en metodología BIM;300,00;;
v;;;48101; A Building Smart Spanish Chapter;60,00;;
v;;;482;Asociación Recreativo Cultural del MITMA;;6,94;
v;;;484;Asociación de Padres de la Guardería Jardín de Infancia del MITMA, para las actividades propias del Centro;;180,25;
v;;;485;Premio Nacional de Ingeniería Civil;;31,47;
v;;;486;Premios por jubilación al personal del Departamento;;324,26;
v;;;487;Becas de formación y perfeccionamiento;;170,37;
;;;48700; Programa Becas Fulbright;95,37;;
;;;48701; Programa Becas de formación y perfeccionamiento profesional;75,00;;
v;;;488;Premios Matilde Ucelay;;45,00;
v;;;489;Cuotas patronales de las becas para programas;;17,00;
v;;;49;Al exterior;;68,00;
v;;;492;Cuotas a Organismos Internacionales;;68,00;
;;;49200; Conférence Européenne des Directeurs de Routes. CEDR;25,00;;
;;;49201; Association Mondiale de la Route. AIPCR;23,30;;
;;;49202; Organisation de Coopération et de Développement Économique-PARIS OCDE CCRT;19,70;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.264,77;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.676,10;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.676,10;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;4.618,73;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;4.618,73;
;;;64;Gastos de inversiones de carácter inmaterial;;3.327,97;
;;;640;Gastos en inversiones de carácter inmaterial;;3.327,97;
;;;;TOTAL INVERSIONES REALES;;9.622,80;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;76;A Entidades Locales;;500,00;
v;;;760;A la Fira de Barcelona para la celebración del Salón del Automóvil;;500,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;500,00;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;153,78;
v;;;830;Préstamos a corto plazo;;18,78;
;;;83008; Familias e instituciones sin fines de lucro;18,78;;
v;;;831;Préstamos a largo plazo;;135,00;
;;;83108; Familias e instituciones sin fines de lucro;135,00;;
;;;;TOTAL ACTIVOS FINANCIEROS;;153,78;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Transportes y Movilidad Sostenible;;96.173,67;
 ; ;;;;;;
v;;453O;;Comisión de Investigación de Accidentes Ferroviarios;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;384,15;
;;;120;Retribuciones básicas;;173,67;
;;;12000; Sueldos del grupo A1 y grupo A;59,46;;
;;;12001; Sueldos del grupo A2 y grupo B;38,56;;
;;;12002; Sueldos del grupo C1 y grupo C;19,30;;
;;;12003; Sueldos del grupo C2 y grupo D;8,03;;
