Económica;Explicación;35.01;Total (miles euros);Total (euros)
5;FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;3.964.420,00;3.964.420,00;3.964.420.000
50;Dotación al Fondo de Contingencia de ejecución presupuestaria;3.964.420,00;3.964.420,00;3.964.420.000
—;TOTAL CONSOLIDADO;3.964.420,00;3.964.420,00;3.964.420.000
—;TOTAL;3.964.420,00;3.964.420,00;3.964.420.000
