Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;929N;50;Dotación al Fondo de Contingencia de ejecución presupuestaria;3.964.420,00;3.964.420.000
1;929N;500;Fondo de Contingencia — Art. 50 Ley 47/2003 General Presupuestaria;3.964.420,00;3.964.420.000
—;—;—;TOTAL Fondo de contingencia de ejecución presupuestaria;3.964.420,00;3.964.420.000
—;—;—;TOTAL DIRECCIÓN GENERAL DE PRESUPUESTOS;3.964.420,00;3.964.420.000
—;—;—;TOTAL FONDO DE CONTINGENCIA;3.964.420,00;3.964.420.000
