Económica;Explicación;Total (miles euros);Total (euros)
5;FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;3.964.420,00;3.964.420.000
—;TOTAL FONDO DE CONTINGENCIA;3.964.420,00;3.964.420.000
—;TOTAL OPERACIONES NO FINANCIERAS;3.964.420,00;3.964.420.000
—;TOTAL PRESUPUESTO;3.964.420,00;3.964.420.000
—;TOTAL CONSOLIDADO;3.964.420,00;3.964.420.000
