Clasificación por programas;Explicación;Importe (miles Euros);Importe (euros)
911N;Actividad legislativa;267.982,17;267.982.170,00
;TOTAL CONSOLIDADO;267.982,17;267.982.170,00
;TOTAL;267.982,17;267.982.170,00
