Económica;Explicación;Total (miles euros);Total (euros)
8;Activos financieros;1.800,00;1.800.000,00
87;Aportaciones patrimoniales;1.800,00;1.800.000,00
875;Fondo de Garantía del Pago de Alimentos;1.800,00;1.800.000,00
—;TOTAL SECRETARÍA DE ESTADO DE SEGURIDAD SOCIAL Y PENSIONES;1.800,00;1.800.000,00
—;TOTAL PROGRAMA 231G – Atención a la infancia y a las familias;1.800,00;1.800.000,00
