Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;911M;4;Transferencias corrientes;8.431,15;8.431.150,00
1;911M;48;A familias e instituciones sin fines de lucro;8.431,15;8.431.150,00
1;911M;480;A S.M. el Rey. Para el sostenimiento de su Familia y Casa (Art. 65 CE);8.431,15;8.431.150,00
