Orgánica;Explicación;Total (miles euros);Total (euros)
28.50;Mecanismo de Recuperación y Resiliencia (MRR);32.600,00;32.600.000,00
28.301;Consejo Superior de Investigaciones Científicas (CSIC);27.654,66;27.654.660,00
—;TOTAL PROGRAMA C17.I01;60.254,66;60.254.660,00
