;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 463A Investigación científica;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
;16204; Acción social;1.493,43;;
;;TOTAL GASTOS DE PERSONAL;;506.196,27;
 ; ;;;;
;202;Arrendamientos de edificios y otras construcciones;;1.900,00;
;22109; Labores Fábrica Nacional Moneda y Timbre;0,10;;
;22502; Locales;3.500,00;;
;22601; Atenciones protocolarias y representativas;7,04;;
;44000; A D+T Microelectrónica A.I.E. para gastos de funcionamiento;275,00;;
;44001; Al Consorcio para el Diseño, Construcción, Equipamiento y Explotación del Sistema de Observación Costero de las Islas Baleares (SOCIB);251,91;;
;442;Aportación patronal y complementaria a la Fundación Residencia de Estudiantes;;520,00;
;452;A la Fundación Centro Tecnolóxico de Supercomputación de Galicia (CESGA), aportación patronal a los gastos de funcionamiento;;577,06;
;453;Al Consorci Centre de Reserca en Agrigenómica CSIC-IRTA-UAB-UB (CRAG);;690,00;
;455;A la Fundación Observatorio del Ebro;;24,00;
;;TOTAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS;;1.060.096,29;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación científica;;1.215.692,87;
;;



