Económica;Explicación;28.50 ;28.301;Total (miles euros);Total (euros)
6;Inversiones reales;—;27.654,66;27.654,66;27.654.660,00
69;Inversiones reales – Mecanismo de Recuperación y Resiliencia;—;27.654,66;27.654,66;27.654.660,00
7;Transferencias de capital;32.600,00;—;32.600,00;32.600.000,00
75;A Comunidades Autónomas;32.600,00;—;32.600,00;32.600.000,00
—;TOTAL PROGRAMA C17.I01;32.600,00;27.654,66;60.254,66;60.254.660,00
