Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
25.50;—;Mecanismo de Recuperación y Resiliencia – Programa de rehabilitación;1.980.000,00;1.980.000.000,00
—;—;TOTAL PROGRAMA C02.I01;1.980.000,00;1.980.000.000,00
