Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;45.859,40;45.859.400
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;16.164,94;16.164.940
3;GASTOS FINANCIEROS;111;111.000
4;TRANSFERENCIAS CORRIENTES;226.669,50;226.669.500
—;TOTAL OPERACIONES CORRIENTES;288.804,84;288.804.840
6;INVERSIONES REALES;40.722,11;40.722.110
7;TRANSFERENCIAS DE CAPITAL;3.953.149,94;3.953.149.940
—;TOTAL OPERACIONES DE CAPITAL;3.993.872,05;3.993.872.050
—;TOTAL OPERACIONES NO FINANCIERAS;4.282.676,89;4.282.676.890
8;ACTIVOS FINANCIEROS;4.139.816,37;4.139.816.370
—;TOTAL PRESUPUESTO;8.422.493,26;8.422.493.260
4;TRANSFERENCIAS CORRIENTES (entre subsectores);-38.344,44;-38.344.440
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);-62.729,67;-62.729.670
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-101.074,11;-101.074.110
—;TOTAL CONSOLIDADO;8.321.419,15;8.321.419.150
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
