Programa;Económica;Explicación;Total (miles euros);Total (euros)
131N;1;GASTOS DE PERSONAL;922,1;922.100,00
131N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.827,90;2.827.900,00
131N;6;INVERSIONES REALES;250;250.000,00
—;—;TOTAL Programa 131N;4.000,00;4.000.000,00
16.103;;Centro Universitario de Formación de la Policía Nacional;4.000,00;4.000.000,00
