Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
17.101;—;Centro de Estudios y Experimentación de Obras Públicas (CEDEX);4,47;4.470,00
—;—;TOTAL Programa C17.I03;4,47;4.470,00
