Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
17.50;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;157.138,26;157.138.260,00
17.50;745;A Puertos del Estado para el Mecanismo de Recuperación y Resiliencia;139.732,00;139.732.000,00
—;—;TOTAL Mecanismo de Recuperación y Resiliencia;316.681,12;316.681.120,00
—;—;TOTAL Programa C06.I03;316.681,12;316.681.120,00
