Económica;Explicación;17.50 (mil €);Total (mil €);Total (€)
7;TRANSFERENCIAS DE CAPITAL;236.816,02;236.816,02;236.816.020,00 €
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;236.816,02;236.816,02;236.816.020,00 €
—;TOTAL;236.816,02;236.816,02;236.816.020,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
