Económica;Explicación;Total (miles  euros);Total (euros)
47;A empresas privadas;84.279,24;84.279.240,00
471;Transporte del plátano de Canarias;20.000,00;20.000.000,00
478;Subvención al transporte marítimo y aéreo de mercancías con origen o destino en territorios extrapeninsulares;64.279,24;64.279.240,00
—;TOTAL PROGRAMA 441P;84.279,24;84.279.240,00
