Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
17.50;764;A la Mancomunidad Don Benito–Villanueva de la Serena;2.521,40;2.521.400,00
17.50;767;Al Ayuntamiento de A Coruña;9.092,00;9.092.000,00
—;—;TOTAL Mecanismo de Recuperación y Resiliencia;987.148,53;987.148.530,00
—;—;TOTAL Programa C01.I01;987.148,53;987.148.530,00
