Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
17.50;—;Mecanismo de Recuperación y Resiliencia;11.500,00;11.500.000,00
—;—;TOTAL Programa C19.I03;11.500,00;11.500.000,00
