Económico;Explicación;Total (miles  euros);Total (euros)
6;Inversiones reales;4,47;4.470,00
69;Inversiones reales financiadas por el Mecanismo de Recuperación y Resiliencia;4,47;4.470,00
;TOTAL PROGRAMA C17.I03;4,47;4.470,00
