 Económico;Explicación;Total (miles  euros);Total (euros)
6;Inversiones reales;30.284,54;30.284.540,00
69;Inversiones reales financiadas por el Mecanismo de Recuperación y Resiliencia;30.284,54;30.284.540,00
;TOTAL PROGRAMA C06.I02;30.284,54;30.284.540,00
