Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
17.50;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;307.870,91;307.870.910,00
17.50;744;A RENFE Viajeros, S.A. para el Mecanismo de Recuperación y Resiliencia;27.558,00;27.558.000,00
17.50;746;A ADIF-Alta Velocidad para el Mecanismo de Recuperación y Resiliencia;23.560,86;23.560.860,00
—;—;TOTAL Mecanismo de Recuperación y Resiliencia;358.989,77;358.989.770,00
—;—;TOTAL Programa C01.I03;358.989,77;358.989.770,00
