Clasif. por programas;Explicación;ESTADO (mil €);Total (mil €);Total (€)
941N;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;582.430,00;582.430,00;582.430.000,00 €
;TOTAL CONSOLIDADO;582.430,00;582.430,00;582.430.000,00 €
;TOTAL;582.430,00;582.430,00;582.430.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
