Económica;Explicación;30.02 ;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;18.542,45;18.542,45;18.542.450,00
41;A Organismos Autónomos;18.542,45;18.542,45;18.542.450,00
7;TRANSFERENCIAS DE CAPITAL;365;365;365.000,00
71;A Organismos Autónomos;365;365;365.000,00
—;TOTAL PROGRAMA 000X;—;18.907,45;18.907.450,00
