Económica;Explicación;27.302;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;110.000,00;110.000,00;110.000.000,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;110.000,00;110.000,00;110.000.000,00
—;TOTAL PROGRAMA 491N – SERVICIO POSTAL UNIVERSAL;—;110.000,00;110.000.000,00
