Económica;Explicación;28.50;28.301;Total (miles euros);Total (euros)
6;Inversiones reales;—;268,01;268,01;268.010,00
69;Inversiones reales – Mecanismo de Recuperación y Resiliencia;—;268,01;268,01;268.010,00
7;Transferencias de capital;41.680,00;—;41.680,00;41.680.000,00
74;A sociedades, entidades públicas empresariales, fundaciones y resto del sector público estatal (MRR);41.680,00;—;41.680,00;41.680.000,00
—;TOTAL PROGRAMA C17.I05;41.680,00;268,01;41.948,01;41.948.010,00
