Orgánica;Entidad;Total (miles €);Total (€);
28.103;CIEMAT – Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas;26,3;26.300,00;
28.107;Instituto de Salud Carlos III;52,6;52.600,00;
28.301;CSIC – Consejo Superior de Investigaciones Científicas;2.956,70;2.956.700,00;
28.303;AEI – Agencia Estatal de Investigación;215.974,40;215.974.400,00;
—;TOTAL PROGRAMA C17.I04;219.010,00;219.010.000,00;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
