Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
28.50;742;A la UNED para su modernización y digitalización. Mecanismo de Recuperación y Resiliencia;8.530,00;8.530.000,00
—;—;TOTAL PROGRAMA C21.I05;8.530,00;8.530.000,00
