Orgánica;Económica;Explicación;Importe (miles €);Importe (€)
28.50;—;Mecanismo de Recuperación y Resiliencia – Formación y capacitación del personal docente e investigador;120.520,00;120.520.000,00 €
—;—;TOTAL PROGRAMA C21.I04;120.520,00;120.520.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
