Económica;Explicación;28.301;Total (miles euros);Total (euros)
6;Inversiones reales;6.858,00;6.858,00;6.858.000,00
69;Inversiones reales – Mecanismo de Recuperación y Resiliencia;6.858,00;6.858,00;6.858.000,00
—;TOTAL PROGRAMA C17.I07;6.858,00;6.858,00;6.858.000,00
