Orgánica;Económica;Explicación;Importe (miles €);Importe (€)
28.09;—;Secretaría General de Universidades;;
—;1;Gastos de personal;7.691,04;7.691.040,00 €
—;2;Gastos corrientes en bienes y servicios;4.814,21;4.814.210,00 €
—;3;Gastos financieros;15;15.000,00 €
—;4;Transferencias corrientes;86.939,78;86.939.780,00 €
—;6;Inversiones reales;145;145.000,00 €
—;7;Transferencias de capital;6.110,26;6.110.260,00 €
—;—;Subtotal Secretaría General de Universidades;105.715,29;105.715.290,00 €
28.101;—;Universidad Internacional Menéndez Pelayo (UIMP);;
—;1;Gastos de personal;5.086,86;5.086.860,00 €
—;2;Gastos corrientes en bienes y servicios;9.257,03;9.257.030,00 €
—;3;Gastos financieros;34,35;34.350,00 €
—;4;Transferencias corrientes;205,65;205.650,00
—;6;Inversiones reales;1.144,13;1.144.130,00 €
—;8;Activos financieros;15,13;15.130,00 €
—;—;Subtotal UIMP;15.743,15;15.743.150,00 €
28.102;—;Servicio Español para la Internacionalización de la Educación (SEPIE);;
—;1;Gastos de personal;6.968,76;6.968.760,00 €
—;2;Gastos corrientes en bienes y servicios;4.438,37;4.438.370,00 €
—;3;Gastos financieros;4,35;4.350,00 €
—;4;Transferencias corrientes;25;25.000,00
—;6;Inversiones reales;510;510.000,00 €
—;8;Activos financieros;8,5;8.500,00 €
—;—;Subtotal SEPIE;11.954,98;11.954.980,00
28.104;—;Agencia Nacional de Evaluación de la Calidad y Acreditación (ANECA);;
—;1;Gastos de personal;5.074,41;5.074.410,00 €
—;2;Gastos corrientes en bienes y servicios;6.566,23;6.566.230,00 €
—;3;Gastos financieros;1;1.000,00 €
—;6;Inversiones reales;1.220,00;1.220.000,00 €
—;8;Activos financieros;15;15.000,00 €
—;—;Subtotal ANECA;12.876,64;12.876.640,00 €
—;—;TOTAL PROGRAMA 322C – Enseñanzas universitarias;146.290,06;146.290.060,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
