;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 46OE C15.I05 Despliegue de infraestructuras digitales transfronterizas. I+D+i+Digitalización;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;28.50;;Total;
7;TRANSFERENCIAS DE CAPITAL;100.000,00;;100.000,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;100.000,00;;100.000,00;
;TOTAL;100.000,00;;100.000,00;
;;



