Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;58.517,10;58.517.100
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;30.932,50;30.932.500
3;GASTOS FINANCIEROS;43,66;43.660
4;TRANSFERENCIAS CORRIENTES;364.405,27;364.405.270
—;TOTAL OPERACIONES CORRIENTES;453.898,53;453.898.530
6;INVERSIONES REALES;17.401,09;17.401.090
7;TRANSFERENCIAS DE CAPITAL;5.424,03;5.424.030
—;TOTAL OPERACIONES DE CAPITAL;22.825,12;22.825.120
—;TOTAL OPERACIONES NO FINANCIERAS;476.723,65;476.723.650
8;ACTIVOS FINANCIEROS;64,97;64.970
—;TOTAL PRESUPUESTO;476.788,62;476.788.620
4;TRANSFERENCIAS CORRIENTES (entre subsectores);-321.641,38;-321.641.380
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);-5.334,03;-5.334.030
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-326.975,41;-326.975.410
—;TOTAL CONSOLIDADO;149.813,21;149.813.210
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
