Económica;Explicación;21.01;21.04;21.103;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;280.163,40;20.675,22;—;300.838,62;300.838.620,00
41;A Organismos Autónomos;280.163,40;20.675,22;—;300.838,62;300.838.620,00
7;TRANSFERENCIAS DE CAPITAL;571,24;39.628,45;16.179,72;56.379,41;56.379.410,00
70;A la Administración del Estado;—;—;15.209,12;15.209,12;15.209.120,00
71;A Organismos Autónomos;571,24;39.628,45;970,6;41.170,29;41.170.290,00
—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;280.734,64;60.303,67;16.179,72;357.218,03;357.218.030,00
