Económica;Explicación;14.02 EMAD;14.03 Secretaría Estado;14.12 Tierra;14.17 Armada;14.22 Aire/Espacio;14.107 INVIED;Total (miles Euros);Total (euros)
6;Inversiones reales;2.583,87;246.322,66;22.463,58;47.802,47;21.708,46;118.322,66;459.203,70;459.203.700,00
65;Inversiones militares en infraestructura y otros bienes;2.583,87;246.322,66;22.463,58;47.802,47;21.708,46;118.322,66;459.203,70;459.203.700,00
