Económica;Explicación;34.01;Total (miles euros);Total (euros)
3;GASTOS FINANCIEROS;12.500,00;12.500,00;12.500.000
35;Intereses de demora y otros gastos financieros;12.500,00;12.500,00;12.500.000
4;TRANSFERENCIAS CORRIENTES;17.860.350,00;17.860.350,00;17.860.350.000
49;Al exterior;17.860.350,00;17.860.350,00;17.860.350.000
7;TRANSFERENCIAS DE CAPITAL;170.000,00;170.000,00;170.000.000
79;Al exterior;170.000,00;170.000,00;170.000.000
—;TOTAL CONSOLIDADO;18.042.850,00;18.042.850,00;18.042.850.000
—;TOTAL;18.042.850,00;18.042.850,00;18.042.850.000
