Económica;Explicación;18.50;Total (miles  euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;42.000,00;42.000,00;42.000.000,00
45;A Comunidades Autónomas;42.000,00;42.000,00;42.000.000,00
—;TOTAL PROGRAMA 32SA;—;42.000,00;42.000.000,00
