Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.50;19;Gastos de personal. Mecanismo de Recuperación y Resiliencia;6.020,06;6.020.060,00
—;—;TOTAL GASTOS DE PERSONAL;6.020,06;6.020.060,00
—;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;193.203,23;193.203.230,00
—;—;TOTAL C20.I03 Innovación e internacionalización de la formación profesional;193.203,23;193.203.230,00
